feature,kind,positive_hits,positive_total,recall,local_universe_hits,local_universe_total,local_pass_rate
is_verified,single,174,174,1.0,2174,2174,1.0
bytecode_len>=500,single,161,174,0.9252873563218391,1832,2174,0.8426862925482981
tx_count>=1,single,155,174,0.8908045977011494,1478,2174,0.6798528058877645
opcode_diversity>=180,single,152,174,0.8735632183908046,1686,2174,0.7755289788408464
bytecode_len>=2000,single,148,174,0.8505747126436781,1801,2174,0.828426862925483
unique_callers>=2,single,141,174,0.8103448275862069,570,2174,0.2621895124195032
tx_count>=5,single,136,174,0.7816091954022989,602,2174,0.2769089236430543
verified&tx>=5,intersection,136,174,0.7816091954022989,602,2174,0.2769089236430543
opcode_diversity>=200,single,136,174,0.7816091954022989,1663,2174,0.764949402023919
avg_gas>=50k,single,135,174,0.7758620689655172,707,2174,0.3252069917203312
verified&bytecode>=2k&opcode_diversity>=200,intersection,135,174,0.7758620689655172,1660,2174,0.7635694572217111
verified&tx>=5&callers>=2,intersection,133,174,0.764367816091954,466,2174,0.21435142594296228
verified&(traded|tvl>=1k),intersection,126,174,0.7241379310344828,2126,2174,0.9779208831646734
unique_callers>=5,single,121,174,0.6954022988505747,350,2174,0.1609935602575897
verified&callers>=5,intersection,121,174,0.6954022988505747,350,2174,0.1609935602575897
verified&tx>=5&callers>=5,intersection,121,174,0.6954022988505747,350,2174,0.1609935602575897
opcode_diversity>=220,single,120,174,0.6896551724137931,1594,2174,0.7332106715731371
tx_count>=20,single,119,174,0.6839080459770115,360,2174,0.1655933762649494
bytecode_len>=5000,single,114,174,0.6551724137931034,1585,2174,0.7290708371665133
distinct_tokens>=1,single,113,174,0.6494252873563219,2113,2174,0.9719411223551058
token_transfers>=1,single,113,174,0.6494252873563219,2113,2174,0.9719411223551058
total_transfer_in_usd>=1k,single,109,174,0.6264367816091954,2109,2174,0.9701011959521619
verified&tvl>=1k,intersection,109,174,0.6264367816091954,2109,2174,0.9701011959521619
verified&tx>=5&(traded|tvl>=1k),intersection,104,174,0.5977011494252874,570,2174,0.2621895124195032
verified&bytecode>=2k&tx>=5&callers>=5,intersection,103,174,0.5919540229885057,233,2174,0.10717571297148114
avg_gas>=100k,single,101,174,0.5804597701149425,497,2174,0.22861085556577737
total_transfer_in_usd>=10k,single,99,174,0.5689655172413793,1243,2174,0.5717571297148114
opcode_diversity>=240,single,99,174,0.5689655172413793,1561,2174,0.7180312787488501
unique_callers>=20,single,98,174,0.5632183908045977,219,2174,0.10073597056117756
verified&callers>=5&(traded|tvl>=1k),intersection,94,174,0.5402298850574713,323,2174,0.1485740570377185
verified&tx>=5&tvl>=1k,intersection,89,174,0.5114942528735632,555,2174,0.25528978840846367
token_transfers>=10,single,89,174,0.5114942528735632,1467,2174,0.6747930082796688
tx_count>=100,single,88,174,0.5057471264367817,221,2174,0.10165593376264949
total_transfer_in_usd>=100k,single,88,174,0.5057471264367817,587,2174,0.2700091996320147
