address,avg_gas,bytecode_len,distinct_tokens,exploit_score,log_tvl,token_transfer_count,total_tvl_usd,tx_count,unique_byte_pairs,unique_callers
0x029a8915cb63cbb28dcd1195ce6a00596bfb606a,7028811.715204877,3873,1,1.3596577355408197,6.871159688560387,2839,7432922.936666665,2953,246,1185
0x4c19ca89a4ef7b1c9b466c4a2f745bfbbf404a59,4428628.433134583,23526,1,1.3572747143079453,6.16269951137529,2001,1454451.3958333333,2348,256,1982
0x8dccba703e3ca40d3d50435a06637c577d36aafb,11105944.145278892,13271,1,1.3564358598984867,5.7882239033998655,2502,614077.5158188626,5486,252,374
0x112492a074e9d6b84fe73d2c76ee9be9497f7269,6692265.373365042,3477,1,1.3467063723406176,5.987415811752401,822,971438.6191666666,841,234,426
0xf4196172911e47074f8f601339438e4a50075153,4590428.6265560165,14133,1,1.3432368601929243,5.238836964000621,231,173314.3242500058,482,256,199
0x000000000482aa9817645c3d56aa2230f6573532,4817906.890660185,3636,4,1.3416100323500042,3.228471504383415,26,1691.2772044245319,27977,225,14412
0xe98529190706fdedaef1ad3f5dce1515601dcead,1259533.9282772334,23159,2,1.3403759742848245,6.798067946434837,4476,6281565.277680355,7041,256,2140
0xb78b6a0137ad8745784d3b23c16abea8f527ff54,2261031.8386327503,8506,1,1.3376875117288372,6.786498652071427,1174,6116438.045801505,1258,242,497
0x7bb362962f2a4e2089466c79566572b37cfc5d78,487490.8640487299,10804,11,1.3372665928757392,6.488865586075391,1634,3082232.8527770983,100308,249,56778
0x0c8f9c4b0df31d9e091f0f1fc8222cff0f34c32e,1266264.3251194367,11428,1,1.336990449465715,6.578833290360812,2008,3791693.0787890125,3977,256,1173
0xedab351c299eae8e06e4f97a3f262bb4e364612c,2607855.4933184856,2068,1,1.3367580551107459,7.921748553741714,1646,83511935.38246493,5388,209,1828
0xa29004c5d8c2efae284195d8059131ee821f3381,1097689.9734613213,18684,2,1.3366312814117092,6.52087512647106,4548,3317989.410182269,7084,256,1933
0xc22e924b10e75045c943a2d950f44a89bc208573,1282322.5078849723,24567,1,1.3362137636815479,6.160414494217263,4281,1446818.9688555514,12936,256,1872
0x863b49ae97c3d2a87fd43186dfd921f42783c853,1525986.7404241848,13574,1,1.335831219647421,5.439941056929921,603,275384.4920833333,3159,249,2055
0xce5a3270e5904260b7e4f4cc6e105401ce08788d,2761952.2360742707,14133,2,1.3357931500031481,5.237512276422798,440,172786.48225331315,377,256,183
