address,chain,contract_name,verified,is_erc20,erc20_funcs
0x09a80172ed7335660327cd664876b5df6fe06108,mainnet,OMPxContract,True,True,3
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,mainnet,Unitroller,True,False,0
0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,mainnet,MoneyMarket,True,False,0
0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,mainnet,Land,True,False,1
0x204b937feaec333e9e6d72d35f1d131f187ecea1,mainnet,HEXOTC,True,False,0
0x83f798e925bcd4017eb265844fddabb448f1707d,mainnet,yUSDT,True,True,3
0xde46fcf6ab7559e4355b8ee3d7fba0f2730cddd8,mainnet,MainPool,True,False,0
0x0e511aa1a137aad267dfe3a6bfca0b856c1a3682,mainnet,BPool,True,True,3
0x5f58058c0ec971492166763c8c22632b583f667f,mainnet,BancorNetwork,True,False,0
0xe7597f774fd0a15a617894dc39d45a28b97afa4f,mainnet,ACOWriter,True,False,0
0xf5140fc35c6f94d02d7466f793feb0216082d7e5,mainnet,CErc20Immutable,True,True,3
0x4d4d05e1205e3a412ae1469c99e0d954113aa76f,mainnet,Burner,True,False,0
0x951d51baefb72319d9fbe941e1615938d89abfe2,mainnet,oToken,True,True,3
0x3d5bc3c8d13dcb8bf317092d84783c2697ae9258,mainnet,Unitroller,True,False,0
0xacd43e627e64355f1861cec6d3a6688b31a6f952,mainnet,yVault,True,True,3
0xb983e01458529665007ff7e0cddecdb74b967eb6,mainnet,LoanToken,True,False,2
0x7f3fe9d492a9a60aebb06d82cba23c6f32cad10b,mainnet,LoanToken,True,False,2
0x7ac55ac530f2c29659573bde0700c6758d69e677,bsc,DemaxPair,True,False,2
0x32dffc3fe8e3ef3571bf8a72c0d0015c5373f41d,bsc,ERC677BridgeToken,True,True,3
0x3de669c4f1f167a8afbc9993e4753b84b576426f,bsc,Pool,True,True,3
0x35a254223960c18b69c0526c46b013d022e93902,mainnet,UpSwing,True,True,3
0x12392f67bdf24fae0af363c24ac620a2f67dad86,mainnet,CErc20Delegator,True,True,3
0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,mainnet,VaultProxy,True,False,0
0x4deca517d6817b6510798b7328f2314d3003abac,mainnet,AudiusAdminUpgradeabilityProxy,True,False,0
0x6847259b2b3a4c17e7c43c54409810af48ba5210,mainnet,ControllerV4,True,False,1
0x489afbaed0ea796712c9a6d366c16ca3876d8184,bsc,BeefyVault,True,True,3
0xaf274e912243b19b882f02d731dacd7cd13072d0,mainnet,StrategyDAICurve,True,False,1
0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,mainnet,Blacksmith,True,False,0
0xf00a38376c8668fc1f3cd3daeef42e0e44a7fcdb,mainnet,DelegateCallProxyOneToOne,True,False,0
0xb5599f568d3f3e6113b286d010d2bca40a7745aa,mainnet,AdminUpgradeabilityProxy,True,False,0
0xe11fc0b43ab98eb91e9836129d1ee7c3bc95df50,mainnet,SushiMaker,True,False,0
0xa0ff0e694275023f4986dc3ca12a6eb5d6056c62,mainnet,NimbusPair,True,True,3
0xe3334e66634acf17b2b97ab560ec92d6861b25fa,mainnet,CErc20Immutable,True,True,3
0x91383a15c391c142b80045d8b4730c1c37ac0378,mainnet,AdminUpgradeabilityProxy,True,False,0
0x765b8d7cd8ff304f796f4b6fb1bcf78698333f6d,mainnet,ExchangeBetweenPools,True,False,0
0xc0a6b8c534fad86df8fa1abb17084a70f86eddc1,mainnet,NimbusPair,True,True,3
0xb276647e70cb3b81a1ca302cf8de280ff0ce5799,mainnet,XStable2,True,True,3
0x2db6c82ce72c8d7d770ba1b5f5ed0b6e075066d6,mainnet,CErc20Delegator,True,True,3
0xb390b07fcf76678089cb12d8e615d5fe494b01fb,bsc,AdminUpgradeabilityProxy,True,False,0
0x1bf7fe7568211ecff68b6bc7ccad31ecd8fe8092,bsc,xWinDefi,True,False,0
0xf0b7de03134857391d8d43ed48e20edf21461097,mainnet,NFT,True,False,1
0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670,mainnet,CErc20Immutable,True,True,3
0x051ebd717311350f1684f89335bed4abd083a2b6,mainnet,DVM,True,True,3
0xae60ac8e69414c2dc362d0e6a03af643d1d85b92,mainnet,DePayRouterV1,True,False,0
0xe9d1d2a27458378dd6c6f0b2c390807aed2217ca,bsc,AdminUpgradeabilityProxy,True,False,0
0x21125d94cfe886e7179c8d2fe8c1ea8d57c73e0e,bsc,BvaultsStrategy,True,False,0
0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8,bsc,VSafeVaultWBNB,True,True,3
0x33adbf5f1ec364a4ea3a5ca8f310b597b8afdee3,bsc,NativeFarm,True,False,0
0xc342774492b54ce5f8ac662113ed702fc1b34972,bsc,BGeoToken,True,True,3
0x564d4126af2b195ffaa7fb470ed658b1d9d07a54,bsc,BankrollNetworkStack,True,True,3
0x844fa82f1e54824655470970f7004dd90546bb28,bsc,DoppleToken,True,True,3
0xe38b72d6595fd3885d1d2f770aa23e94757f91a1,mainnet,TcrToken,True,True,3
0x765277eebeca2e31912c9946eae1021199b39c61,mainnet,AnyswapV4Router,True,False,0
0xa943ea143cd7e79806d670f4a7cf08f8922a454f,bsc,UraniumFactory,True,False,0
0xc54aaecf5fa1b6c007d019a9d14dfb4a77cc3039,bsc,BunnyProtocol,True,True,3
0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,bsc,AdminUpgradeabilityProxy,True,False,0
0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,bsc,ElevenNeverSellVault,True,True,3
0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4,bsc,CoinToken,True,True,3
0xd0fbf0a224563d5ffc8a57e4fda6ae080ebcf3d3,bsc,MetaSwap,True,False,0
0xb2b1dc3204ee8899d6575f419e72b53e370f6b20,bsc,BvaultsStrategy,True,False,0
0xc6cb12df4520b7bf83f64c79c585b8462e18b6aa,bsc,CoinToken,True,True,3
0xc748673057861a797275cd8a068abb95a902e8de,bsc,CoinToken,True,True,3
0xc748673057861a797275cd8a068abb95a902e8de,bsc,CoinToken,True,True,3
